Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
1,7719,115,23.18,0,22.29
2,11307,73,19.32,13,22.29
3,12376,99,21.91,29,22.4
4,14769,271,46.93,44,22.29
5,15164,323,58.48,60,22.29
6,17064,112,22.94,76,22.29
7,17116,198,33.69,94,22.29
8,17812,216,36.85,109,22.4
9,20181,67,18.51,124,22.29
10,21029,230,39.39,140,22.4
11,22119,127,24.18,156,22.29
12,22174,57,16.93,172,22.29
13,23189,167,28.76,188,22.4
14,25093,96,21.67,204,22.29
15,27479,69,18.79,220,22.51
16,28773,110,22.78,236,22.4
17,30065,332,61.17,252,22.4
18,32252,231,39.55,268,22.51
19,34082,63,17.91,284,22.4
20,34600,121,23.66,300,22.51
21,36669,88,20.96,316,22.51
22,38226,199,33.86,332,22.51
23,38531,79,20.03,348,22.51
24,38809,81,20.25,366,22.4
25,39610,153,26.9,382,22.51
26,39630,77,19.81,398,22.51
27,46268,408,90.57,414,22.51
28,52777,79,20.03,430,22.51
29,56744,686,278.39,446,22.4
30,58165,125,24,462,22.51
31,58435,167,28.76,478,22.51
32,58915,161,27.93,494,22.51
33,59576,96,21.67,510,22.51
34,62870,124,23.92,526,22.51
35,63427,70,18.93,542,22.51
36,63852,56,16.76,558,22.51
37,65767,127,24.18,574,22.51
38,66730,176,30.09,590,22.51
39,71014,408,90.57,606,22.51
40,71495,101,22.08,622,22.51
41,73425,483,132.6,640,22.51
42,76202,63,17.91,656,22.51
43,76389,231,39.55,672,22.51
44,77791,51,15.86,688,22.51
45,78144,172,29.49,704,22.51
46,82413,259,44.69,720,22.51
47,83656,89,21.05,736,22.51
48,84700,140,25.42,751,22.51
49,85771,275,47.73,767,22.51
50,91035,147,26.19,783,22.51
51,91692,103,22.23,799,22.51
52,91804,248,42.69,815,22.51
53,95819,142,25.64,831,22.51
54,97950,57,16.93,847,22.51
55,99103,88,20.96,863,22.51
56,99677,108,22.63,879,22.51
57,104214,92,21.32,895,22.51
58,107127,60,17.43,911,22.51
59,109288,348,65.64,924,22.51
60,109326,71,19.06,940,22.51
61,112159,224,38.29,956,22.51
62,114359,216,36.85,972,22.51
63,115953,99,21.91,988,22.51
64,126159,114,23.1,1004,22.51
65,126630,60,17.43,1020,22.51
66,129516,99,21.91,1036,22.51
67,131488,71,19.06,1052,22.51
68,132951,63,17.91,1068,22.51
69,136902,83,20.46,1084,22.51
70,137650,62,17.75,1100,22.51
71,138307,62,17.75,1116,22.51
72,138416,67,18.51,1132,22.51
73,140679,386,80.48,1148,22.62
